"goalType","total_goal","F1_continued","F1_completed","F1_abandoned","F1_adjusted","F2_continued","F2_completed","F2_abandoned","F2_adjusted","F3_continued","F3_completed","F3_abandoned","F3_adjusted"
"long-term",210,170,6,5,6,143,7,9,4,140,11,4,8
"recurrence",377,295,12,15,10,261,9,9,15,241,17,15,14
"short-term",258,195,30,5,4,129,33,10,12,95,33,10,13
"Total",845,660,48,25,20,533,49,28,31,476,61,29,35
