"AmazonIdentifier","baseline","F1"
"A3OLRWACCCCUTU",1,1
"A2196WCNDZULFS",1,1
"ADJ9I7ZBFYFH7",1,1
"A255RBA8P0K0XV",1,1
"A3NKNOE5HIXXL",1,1
"A3VZUPCZB4Q9XW",1,1
"A2IJEKMVEHQ90W",1,1
"A1EH9BPKYXFBS5",1,1
"AJDHPRCJ985C7",1,1
"A2NAKIXS3DVGAA",1,1
"A3NXT3OVGL7QNR",1,1
"A2ESBX4C2Q6TQY",1,1
"A36ZURENFWTYOZ",1,1
"A2LU3430Q972IN",1,1
"A21ZYTE6WOKUA",1,1
"A1B5SSGMTAQ9B5",1,1
"A3BE3KXD518TZ4",1,1
"A2CYMT8T33U6EE",1,0
"A3QSFE6GKO157S",1,0
"A3CAF7LTD3ORSG",1,1
"A47VCO946DO5K",1,0
"A1M8BYIP0KZJZX",1,1
"A1D7IULWFI8PB1",1,1
"A33RI08QRVG5Q0",1,1
"A1IJ56N5Z4TT46",1,1
"A196O7GQLD3S2J",1,0
"A1AZLJ3R5FQ9B7",1,1
"A2WJMGV0HKQG3Z",1,1
"A2EMTSJS47K8SU",1,0
"A1WQACYPLESVGL",1,0
"A1ZT30BGR3266K",1,1
"A37PUSY6CJ7TQ0",1,1
"A2R75YFKVALBXE",1,1
"A1P3I7YCWXF9YG",1,1
"A1BWS5AD2T4NIR",1,1
"A3PGCZCYMXQMZ8",1,0
"AYNDATHZBJZ6E",1,1
"A1SISJL5ST2PWH",1,0
"A27INSDNTACWAM",1,1
"A3AE0JEXW4DB34",1,0
"A49CVVOWN4D6Y",1,1
"AWTGJ45ZWUCHH",1,1
"A1DD23J1WBGQUU",1,0
"AMA18W8F60Y2J",1,0
"AIHUIAQ4922K3",1,1
"A2AZYU1CT24O0K",1,1
"A2Y0WNHMT4PZ4C",1,1
"AJ4T7PTRYNSUW",1,1
"ARQR5NIFA1AJ",1,1
"A1IL81UMEC9OJI",1,0
"A13WTEQ06V3B6D",1,1
"A1J8TVICSRC70W",1,1
"A3ROYUO9LWA22S",1,1
"A1W850QN9RK019",1,1
"A1YPOIURXB6ESR",1,1
"A1K8VUKRL53OX",1,1
"A1KC342L9WAQ2",1,1
"AT6LDQNLKTUSE",1,1
"A1ROEDVMTO9Y3X",1,1
"A22DDO8NILSX6O",1,0
"A2H0VR477QHYO7",1,1
"AJMWITY1XT7H7",1,1
"A1J9Z2VOHTT1UZ",1,0
"AYPOAY43REHC8",1,0
"A3KIDRWRKC7RI5",1,1
"A3U2S6OPJNS4AQ",1,1
"ABOEYY9Y0PFRI",1,0
"A1LJNQX4KBUXNP",1,1
"AY4E4CDN0J6JL",1,1
"A12JKSH2NE5W9N",1,0
"A1NVF1YLDLF563",1,1
"A1WZY0K6IE3ASG",1,1
"AL7UTA8J27TFK",1,1
"A13FUEPWBCLBUY",1,1
"A1XRWOK00HK1J4",1,0
"A1VFRCYMWGWWCZ",1,1
"A314XJY8V1YL12",1,1
"A3KFFIBJZVM0J2",1,1
"ALAOEYIYW0CW7",1,0
