"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","conflict","connectedness","instrumentality"
"A3BE3KXD518TZ4","3.00","1.17","2.00","3.00","2.83","1.17","0.24","3.00","2.83","1.17","0.24","1.83","1.83","1.67","3.33","6.00"
"A3CAF7LTD3ORSG","3.17","1.00","2.00","3.17","3.07","1.00","0.00","3.17","1.65","1.00","0.00","2.17","2.17","1.33","3.00","6.33"
"A3E76V59BKGKCQ","3.67","1.17","2.00","3.67","1.89","1.17","0.24","3.67","3.30","1.17","0.24","2.50","2.50","2.00","5.00","6.00"
"A3EXD5E390Z6B3","2.00","6.00","2.00","2.00","1.41","6.00","1.41","2.00","1.41","6.00","1.41","-4.00","-4.00","5.33","2.33","3.67"
"A3GI28OVLDI9ST","3.65","1.20","3.00","3.65","2.24","1.20","0.40","3.65","2.17","1.20","0.40","2.45","2.45","2.80","4.40","5.60"
"A3GZXU4FUJTKZD","1.85","2.10","3.00","1.85","0.34","2.10","0.99","1.85","1.70","2.10","1.18","-0.25","-0.25","3.20","4.20","4.00"
"A3HXM7BGH18FOW","3.00","1.00","2.00","3.00","2.83","1.00","0.00","3.00","2.83","1.00","0.00","2.00","2.00","1.00","4.00","2.67"
"A3KFFIBJZVM0J2","1.58","1.25","2.50","1.58","1.01","1.25","0.43","1.58","1.01","1.25","0.43","0.33","0.33","2.75","2.00","3.25"
"A3KIDRWRKC7RI5","1.35","1.70","3.00","1.35","0.70","1.70","0.95","1.35","0.58","1.70","0.90","-0.35","-0.35","2.40","2.60","4.20"
"A3KIZLHCD945UK","6.33","3.00","2.00","6.33","0.94","3.00","2.83","6.33","0.94","3.00","2.83","3.33","3.33","2.67","6.67","4.67"
"A3KNLR8H286IHT","2.00","1.00","2.00","2.00","1.41","1.00","0.00","2.00","1.41","1.00","0.00","1.00","1.00","1.00","4.67","7.00"
"A3LL096CAY5WHB","6.00","2.00","1.50","6.00","NA","2.00","NA","6.00","NA","2.00","NA","4.00","4.00","1.50","5.50","4.50"
"A3M81P9BEVE1GD","5.85","5.60","3.00","5.85","0.98","5.60","0.87","5.85","0.89","5.60","0.75","0.25","0.25","6.00","5.60","5.60"
"A3NKNOE5HIXXL","3.00","5.00","2.00","3.00","2.83","5.00","2.83","3.00","2.83","5.00","2.83","-2.00","-2.00","2.00","4.33","7.00"
"A3NLSGHK6RFXA8","3.75","2.25","2.50","3.75","2.16","2.25","0.43","3.75","3.03","2.25","2.16","1.50","1.50","1.00","3.25","6.50"
"A3NRAEKWOKVUNN","3.00","1.50","1.50","3.00","NA","1.50","NA","3.00","NA","1.50","NA","1.50","1.50","1.50","3.50","3.50"
"A3NXT3OVGL7QNR","NA","NA","1.00","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.00","3.00","6.00"
"A3O0ZQMDKOKAMR","5.50","1.00","1.50","5.50","NA","1.00","NA","5.50","NA","1.00","NA","4.50","4.50","2.50","4.50","6.50"
"A3OAXRZT3MVJML","1.50","1.17","2.00","1.50","0.71","1.17","0.24","1.50","0.71","1.17","0.24","0.33","0.33","1.00","3.00","4.67"
"A3OLRWACCCCUTU","1.75","1.85","3.00","1.75","1.50","1.85","1.05","1.75","1.50","1.85","1.05","-0.10","-0.10","3.20","5.20","4.40"
"A3OPRR8AXT6OSJ","6.83","1.17","2.00","6.83","0.24","1.17","0.24","6.83","0.24","1.17","0.24","5.67","5.67","1.67","6.67","7.00"
"A3OUNEJO97MM8E","3.83","3.17","2.00","3.83","0.71","3.17","1.18","3.83","2.12","3.17","1.18","0.67","0.67","3.00","4.00","5.33"
"A3PGCZCYMXQMZ8","2.00","1.00","2.50","2.00","1.73","1.00","0.00","2.00","1.73","1.00","0.00","1.00","1.00","1.00","3.00","5.00"
"A3PSV85ZUXP9VF","1.00","3.00","2.00","1.00","0.00","3.00","2.83","1.00","0.00","3.00","2.83","-2.00","-2.00","2.00","2.00","4.33"
"A3QSFE6GKO157S","7.00","1.00","1.50","7.00","NA","1.00","NA","7.00","NA","1.00","NA","6.00","6.00","1.00","7.00","5.50"
"A3ROYUO9LWA22S","3.70","1.70","3.00","3.70","2.33","1.70","1.40","3.70","1.63","1.70","1.40","2.00","2.00","3.20","6.60","7.00"
"A3U2S6OPJNS4AQ","NA","NA","1.00","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.00","6.00","6.00"
"A3U4SSUB9ZZ9T0","3.67","3.67","2.00","3.67","0.47","3.67","0.94","3.67","2.36","3.67","3.30","0.00","0.00","3.33","5.33","6.33"
"A3UUH3632AI3ZX","NA","NA","1.00","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.00","4.00","7.00"
"A3VYBAO7UQQHGC","5.00","1.00","2.00","5.00","1.41","1.00","0.00","5.00","0.47","1.00","0.00","4.00","4.00","1.00","2.33","5.67"
"A3VZUPCZB4Q9XW","2.65","1.65","3.00","2.65","1.53","1.65","0.57","2.65","1.43","1.65","0.57","1.00","1.00","3.00","5.20","4.20"
"A47VCO946DO5K","3.67","1.00","2.00","3.67","1.89","1.00","0.00","3.67","1.89","1.00","0.00","2.67","2.67","1.00","3.00","3.00"
"A49CVVOWN4D6Y","1.95","1.40","3.00","1.95","1.38","1.40","0.80","1.95","1.53","1.40","0.55","0.55","0.55","1.40","6.40","7.00"
"A4BDXOXC4D8FX","1.00","1.00","2.00","1.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","1.00","1.00","5.00"
"A5A14MTB35J23","1.00","1.35","3.00","1.00","0.00","1.35","0.51","1.00","0.00","1.35","0.59","-0.35","-0.35","1.25","2.00","2.80"
"A5E2P5F1AXYZ1","2.85","1.35","3.00","2.85","2.00","1.35","0.50","2.85","2.14","1.35","0.53","1.50","1.50","2.80","3.80","3.80"
"A6JUD4NCQCDWG","2.00","5.00","1.50","2.00","NA","5.00","NA","2.00","NA","5.00","NA","-3.00","-3.00","4.50","4.50","3.00"
"A6R5AQ4D638BH","3.33","1.00","2.00","3.33","0.94","1.00","0.00","3.33","1.88","1.00","0.00","2.33","2.33","1.00","3.00","4.67"
"A770OB1ZAGJ4G","6.50","1.50","2.50","6.50","0.43","1.50","0.43","6.50","0.43","1.50","0.43","5.00","5.00","2.50","5.25","6.25"
"A7P3R1AIA4TVV","3.17","2.00","2.00","3.17","2.59","2.00","0.94","3.17","3.06","2.00","0.94","1.17","1.17","2.67","4.00","5.00"
"AADRZTXSE7211","2.17","2.50","2.50","2.17","2.02","2.50","1.30","2.17","2.02","2.50","1.59","-0.34","-0.34","3.00","3.50","5.25"
"AAHZCL4LIPCBQ","7.00","1.00","2.00","7.00","0.00","1.00","0.00","7.00","0.00","1.00","0.00","6.00","6.00","1.00","7.00","7.00"
"ABOEYY9Y0PFRI","2.00","2.50","2.00","2.00","0.47","2.50","0.71","2.00","0.94","2.50","0.71","-0.50","-0.50","2.67","2.33","2.00"
"ADJ9I7ZBFYFH7","2.17","1.00","2.00","2.17","0.71","1.00","0.00","2.17","1.18","1.00","0.00","1.17","1.17","1.00","5.67","5.33"
"ADYMIMV1PE14V","4.33","1.50","2.00","4.33","0.94","1.50","0.71","4.33","3.30","1.50","0.71","2.83","2.83","1.00","4.67","6.00"
"AF0W4ZBY7VXOU","6.00","2.00","2.00","6.00","1.41","2.00","1.41","6.00","1.41","2.00","1.41","4.00","4.00","2.33","7.00","7.00"
"AFMAFX0P2YRRV","NA","NA","1.00","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.00","4.00","4.00"
"AH00EJ6PK1H3A","1.83","1.00","2.00","1.83","1.18","1.00","0.00","1.83","1.18","1.00","0.00","0.83","0.83","1.00","3.00","3.33"
"AHGDYNKOKJWFJ","2.50","2.00","2.00","2.50","0.71","2.00","0.00","2.50","0.71","2.00","0.00","0.50","0.50","2.00","2.33","4.00"
"AHKRGPN5D3I2G","2.30","1.35","3.00","2.30","2.34","1.35","0.70","2.30","2.47","1.35","0.70","0.95","0.95","1.00","7.00","7.00"
"AHYTT3T8W9Y9Y","NA","NA","1.00","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.00","2.00","3.00"
"AIA7RZSAONU5M","5.50","2.50","2.00","5.50","1.18","2.50","0.71","5.50","1.18","2.50","0.71","3.00","3.00","1.33","6.00","6.33"
"AIHHRINW9IN1I","2.17","1.00","2.00","2.17","1.18","1.00","0.00","2.17","0.71","1.00","0.00","1.17","1.17","1.00","1.67","3.33"
"AIHUIAQ4922K3","1.50","1.00","1.50","1.50","NA","1.00","NA","1.50","NA","1.00","NA","0.50","0.50","1.50","4.00","4.00"
"AJ4T7PTRYNSUW","3.83","2.00","2.00","3.83","1.18","2.00","1.41","3.83","1.65","2.00","1.41","1.83","1.83","2.33","3.00","5.33"
