"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","conflict","connectedness","instrumentality"
"A1DD23J1WBGQUU","2.83","1.17","2.00","2.83","2.59","1.17","0.24","2.83","1.18","1.17","0.24","1.67","1.67","2.00","3.33","4.67"
"A1EH9BPKYXFBS5","6.45","1.50","3.00","6.45","0.98","1.50","1.00","6.45","0.39","1.50","0.29","4.95","4.95","2.00","6.00","6.00"
"A1F1TBDHPYAAXT","3.00","1.00","2.00","3.00","2.83","1.00","0.00","3.00","2.83","1.00","0.00","2.00","2.00","1.00","5.00","6.67"
"A1G187YBG0DVMQ","1.67","1.67","2.00","1.67","0.94","1.67","0.94","1.67","0.47","1.67","0.94","0.00","0.00","1.67","3.00","4.00"
"A1G5EPLJEGL381","6.00","1.00","1.50","6.00","NA","1.00","NA","6.00","NA","1.00","NA","5.00","5.00","1.50","5.50","7.00"
"A1H5Q9HRH4RPZU","3.50","2.67","2.00","3.50","1.65","2.67","0.94","3.50","1.65","2.67","0.94","0.83","0.83","3.00","4.67","5.67"
"A1IBLFQ2E6VA2J","3.20","1.85","3.00","3.20","1.35","1.85","1.09","3.20","2.38","1.85","0.94","1.35","1.35","4.00","5.80","6.60"
"A1IJ56N5Z4TT46","4.40","2.30","3.00","4.40","1.61","2.30","0.74","4.40","1.15","2.30","0.73","2.10","2.10","2.75","4.40","4.60"
"A1IL81UMEC9OJI","1.65","1.00","3.00","1.65","0.71","1.00","0.00","1.65","0.70","1.00","0.00","0.65","0.65","1.00","3.00","3.80"
"A1J8TVICSRC70W","2.40","1.50","3.00","2.40","1.84","1.50","0.69","2.40","1.84","1.50","0.69","0.90","0.90","3.20","3.40","3.20"
"A1J9Z2VOHTT1UZ","4.00","1.67","2.00","4.00","0.94","1.67","0.00","4.00","1.89","1.67","0.47","2.33","2.33","2.00","4.67","5.33"
"A1K8VUKRL53OX","5.40","2.40","3.00","5.40","1.01","2.40","0.87","5.40","1.49","2.40","1.11","3.00","3.00","2.80","5.80","5.40"
"A1KC342L9WAQ2","3.17","1.67","2.00","3.17","1.65","1.67","0.00","3.17","1.65","1.67","0.47","1.50","1.50","2.67","3.33","6.00"
"A1LJNQX4KBUXNP","1.00","1.00","2.00","1.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","1.00","3.00","6.00"
"A1LS7GARU7CD08","1.17","1.67","2.00","1.17","0.24","1.67","0.47","1.17","0.24","1.67","0.47","-0.50","-0.50","2.33","2.00","4.67"
"A1M8BYIP0KZJZX","2.75","1.95","3.00","2.75","2.02","1.95","1.04","2.75","2.03","1.95","1.25","0.80","0.80","1.60","3.60","5.00"
"A1MJWY7UO3CDSM","1.00","1.00","1.50","1.00","NA","1.00","NA","1.00","NA","1.00","NA","0.00","0.00","1.00","1.50","4.00"
"A1NVF1YLDLF563","2.33","2.00","2.00","2.33","1.41","2.00","0.94","2.33","1.41","2.00","0.94","0.33","0.33","2.00","4.33","5.67"
"A1O9PAK6THJ9Y7","2.00","2.00","1.50","2.00","NA","2.00","NA","2.00","NA","2.00","NA","0.00","0.00","1.50","2.50","3.50"
"A1OJV3R8BH73BD","3.00","1.00","2.00","3.00","1.41","1.00","0.00","3.00","1.41","1.00","0.00","2.00","2.00","1.00","3.33","6.00"
"A1OR82RF1ZFWP","4.83","2.33","2.00","4.83","1.65","2.33","1.89","4.83","1.65","2.33","1.89","2.50","2.50","1.33","2.00","3.33"
"A1P3I7YCWXF9YG","7.00","1.00","1.50","7.00","NA","1.00","NA","7.00","NA","1.00","NA","6.00","6.00","1.00","1.00","7.00"
"A1QT7BQZVOBSY0","1.00","1.33","2.50","1.00","0.00","1.33","0.14","1.00","0.00","1.33","0.58","-0.33","-0.33","1.50","2.67","4.25"
"A1R5W4RQZTROD8","1.25","2.58","2.50","1.25","0.43","2.58","1.35","1.25","0.43","2.58","1.68","-1.34","-1.33","2.50","1.25","3.00"
"A1ROEDVMTO9Y3X","4.00","2.50","1.50","4.00","NA","2.50","NA","4.00","NA","2.50","NA","1.50","1.50","3.50","4.00","5.50"
"A1RQUOVV8PCXBM","5.65","1.50","3.00","5.65","1.59","1.50","0.56","5.65","1.34","1.50","0.61","4.15","4.15","2.40","5.20","6.20"
"A1RWNYJA5X25YH","4.25","1.55","3.00","4.25","2.35","1.55","0.98","4.25","2.01","1.55","0.81","2.70","2.70","1.40","4.20","5.00"
"A1SISJL5ST2PWH","3.00","1.00","2.00","3.00","2.83","1.00","0.00","3.00","2.83","1.00","0.00","2.00","2.00","1.00","2.67","4.33"
"A1SL72YBUW8Q8K","3.83","1.50","2.50","3.83","1.95","1.50","0.86","3.83","2.81","1.50","0.86","2.33","2.33","1.00","2.75","4.00"
"A1T83SZBP2DN65","5.00","2.00","1.50","5.00","NA","2.00","NA","5.00","NA","2.00","NA","3.00","3.00","2.00","3.00","4.00"
"A1TPGXT718D68E","1.67","1.33","2.00","1.67","0.94","1.33","0.00","1.67","0.94","1.33","0.47","0.33","0.33","3.67","4.00","6.00"
"A1U8LTCX5XYJ45","1.00","1.00","2.00","1.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","1.00","3.00","7.00"
"A1VFRCYMWGWWCZ","3.25","2.95","3.00","3.25","2.19","2.95","1.96","3.25","2.00","2.95","1.77","0.30","0.30","4.00","2.20","4.80"
"A1VRG5HKZC0H0C","1.90","2.45","3.00","1.90","1.29","2.45","0.85","1.90","1.34","2.45","1.85","-0.55","-0.55","3.00","3.20","4.00"
"A1W7I6FN183I8F","2.75","2.05","3.00","2.75","1.75","2.05","0.97","2.75","1.46","2.05","0.94","0.70","0.70","2.60","2.40","4.80"
"A1W850QN9RK019","2.75","1.10","3.00","2.75","2.32","1.10","0.20","2.75","2.28","1.10","0.20","1.65","1.65","3.40","3.60","5.40"
"A1WJYF201K77BI","1.80","1.50","3.00","1.80","1.19","1.50","1.00","1.80","0.88","1.50","1.00","0.30","0.30","2.80","3.00","3.60"
"A1WQACYPLESVGL","2.05","2.70","3.00","2.05","0.78","2.70","1.17","2.05","0.91","2.70","0.79","-0.65","-0.65","2.60","6.00","5.80"
"A1WS9UHL45VZ0X","2.33","2.00","2.00","2.33","1.89","2.00","1.41","2.33","1.41","2.00","1.41","0.33","0.33","2.33","3.33","4.00"
"A1WZY0K6IE3ASG","4.40","1.55","3.00","4.40","1.59","1.55","0.51","4.40","2.23","1.55","0.70","2.85","2.85","1.40","3.80","5.80"
"A1X388C6SDCDEY","4.67","2.50","2.50","4.66","1.59","2.50","1.10","4.67","2.48","2.50","1.67","2.16","2.17","3.00","4.50","5.50"
"A1XRWOK00HK1J4","2.00","1.25","2.50","2.00","1.73","1.25","0.29","2.00","1.73","1.25","0.43","0.75","0.75","1.00","3.25","3.75"
"A1XUZFDVKP95VC","2.00","1.00","1.50","2.00","NA","1.00","NA","2.00","NA","1.00","NA","1.00","1.00","2.50","4.50","7.00"
"A1YPOIURXB6ESR","2.92","2.50","2.50","2.92","2.77","2.50","1.53","2.92","2.88","2.50","1.68","0.42","0.42","3.50","4.25","6.25"
"A1Z2ZGPJRGG0G3","1.00","3.67","2.00","1.00","0.00","3.67","2.36","1.00","0.00","3.67","2.83","-2.67","-2.67","2.33","4.00","2.67"
"A1ZT0TLZZTT47M","2.15","2.85","3.00","2.15","1.33","2.85","1.33","2.15","1.75","2.85","1.70","-0.70","-0.70","3.60","3.20","3.60"
"A1ZT30BGR3266K","5.00","2.00","1.50","5.00","NA","2.00","NA","5.00","NA","2.00","NA","3.00","3.00","2.00","4.00","3.50"
"A207IHY6GERCFO","4.00","2.67","2.00","4.00","1.41","2.67","0.94","4.00","0.47","2.67","1.41","1.33","1.33","3.00","4.67","6.00"
"A2196WCNDZULFS","1.17","1.33","2.00","1.17","0.24","1.33","0.47","1.17","0.24","1.33","0.47","-0.17","-0.17","2.00","3.00","6.00"
"A21BXRUD15TQL8","3.83","1.33","2.00","3.83","1.65","1.33","0.47","3.83","3.54","1.33","0.00","2.50","2.50","1.67","3.67","3.00"
"A21ZYTE6WOKUA","3.17","5.42","2.50","3.17","1.01","5.42","2.06","3.17","2.38","5.42","2.74","-2.25","-2.25","2.75","2.25","7.00"
"A225BMTMXUR5F4","1.35","1.85","3.00","1.35","0.70","1.85","1.15","1.35","0.58","1.85","0.78","-0.50","-0.50","4.20","5.80","5.40"
"A22DDO8NILSX6O","3.00","1.67","2.50","3.00","1.22","1.67","0.40","3.00","1.10","1.67","0.72","1.33","1.33","2.00","3.75","5.00"
"A22SZHZTF72TRM","2.25","1.00","2.50","2.25","2.16","1.00","0.00","2.25","2.16","1.00","0.00","1.25","1.25","1.25","4.00","4.75"
"A248PLZABUKB62","1.65","2.50","3.00","1.65","0.65","2.50","0.20","1.65","1.13","2.50","0.75","-0.85","-0.85","5.00","4.00","4.20"
"A255RBA8P0K0XV","5.85","2.80","3.00","5.85","0.30","2.80","0.67","5.85","0.22","2.80","0.55","3.05","3.05","3.00","5.00","5.60"
"A2615YW1YERQBO","2.50","2.83","2.00","2.50","1.18","2.83","0.71","2.50","1.65","2.83","0.71","-0.33","-0.33","2.00","3.33","4.33"
"A26NGLGGFTATVN","1.00","1.00","1.50","1.00","NA","1.00","NA","1.00","NA","1.00","NA","0.00","0.00","1.00","2.50","7.00"
"A26UAJWMMNN351","1.00","2.50","2.00","1.00","0.00","2.50","2.12","1.00","0.00","2.50","2.12","-1.50","-1.50","2.00","3.00","4.00"
"A27INSDNTACWAM","4.75","4.25","2.50","4.75","1.30","4.25","2.80","4.75","3.34","4.25","2.91","0.50","0.50","4.00","4.75","5.25"
"A286W816CMIZL9","5.67","2.67","2.00","5.67","1.89","2.67","2.36","5.67","1.89","2.67","2.36","3.00","3.00","1.00","7.00","7.00"
"A28J7H4TH29DC3","1.50","3.17","2.00","1.50","0.71","3.17","3.06","1.50","0.71","3.17","2.59","-1.67","-1.67","2.67","6.67","6.67"
"A2ASTDMWBCFIP0","4.00","2.50","1.50","4.00","NA","2.50","NA","4.00","NA","2.50","NA","1.50","1.50","4.00","3.50","6.50"
"A2AT6TSPPCR106","4.00","1.00","2.50","4.00","2.06","1.00","0.00","4.00","2.08","1.00","0.00","3.00","3.00","1.25","3.75","6.50"
"A2AZYU1CT24O0K","4.30","1.50","3.00","4.30","2.71","1.50","0.77","4.30","2.41","1.50","0.68","2.80","2.80","1.40","5.00","6.20"
"A2B0FLA55RH047","4.08","1.50","2.50","4.08","1.36","1.50","0.53","4.08","1.40","1.50","0.72","2.58","2.58","2.00","4.75","6.25"
"A2BEBDMQ7SI4IY","6.10","5.75","3.00","6.10","0.95","5.75","0.96","6.10","0.87","5.75","1.01","0.35","0.35","6.20","5.40","6.20"
"A2BJTPZLXIGO8D","2.00","1.17","2.00","2.00","1.41","1.17","0.24","2.00","1.41","1.17","0.24","0.83","0.83","2.00","4.00","6.00"
"A2CP6MLJVJYBO7","4.00","1.00","1.50","4.00","NA","1.00","NA","4.00","NA","1.00","NA","3.00","3.00","1.00","5.50","6.50"
"A2CYMT8T33U6EE","1.65","1.70","3.00","1.65","1.18","1.70","0.89","1.65","1.04","1.70","0.87","-0.05","-0.05","2.80","3.60","4.40"
"A2DVV59R1CQU6T","3.00","1.00","2.00","3.00","2.36","1.00","0.00","3.00","2.36","1.00","0.00","2.00","2.00","2.00","3.00","5.67"
"A2EK1HDV4I4GSK","5.50","2.00","1.50","5.50","NA","2.00","NA","5.50","NA","2.00","NA","3.50","3.50","3.00","2.50","5.50"
"A2EMTSJS47K8SU","2.17","2.17","2.00","2.17","1.18","2.17","1.18","2.17","1.65","2.17","1.65","0.00","0.00","3.00","3.67","5.67"
"A2ESBX4C2Q6TQY","3.80","1.00","3.00","3.80","2.53","1.00","0.00","3.80","2.42","1.00","0.00","2.80","2.80","1.00","4.00","4.40"
"A2F5QCUTZU7KF7","2.00","1.83","2.00","2.00","1.41","1.83","0.71","2.00","1.41","1.83","0.71","0.17","0.17","2.67","4.00","5.33"
"A2FP41BSPG0Y4A","1.65","1.75","3.00","1.65","0.87","1.75","0.90","1.65","1.30","1.75","1.10","-0.10","-0.10","3.80","2.80","4.40"
"A2GTBBZA2M82NR","2.58","1.50","2.50","2.58","1.93","1.50","0.67","2.58","1.93","1.50","0.53","1.08","1.08","1.25","2.50","4.50"
"A2H0VR477QHYO7","3.92","3.92","2.50","3.92","1.89","3.92","1.40","3.92","1.63","3.92","1.55","0.00","0.00","4.75","5.75","6.25"
"A2H6Q22X1V1FTX","1.33","2.00","2.00","1.33","0.47","2.00","1.41","1.33","0.47","2.00","1.41","-0.67","-0.67","2.67","4.00","4.33"
"A2H92K2776A1IC","2.17","1.33","2.50","2.16","2.02","1.34","0.57","2.16","2.02","1.34","0.57","0.84","0.84","2.00","4.75","5.25"
"A2HJYX70UQW9XR","2.20","1.50","3.00","2.20","1.89","1.50","0.52","2.20","1.56","1.50","0.52","0.70","0.70","1.80","3.00","3.80"
"A2HQMB1GSEADL","1.70","2.20","3.00","1.70","0.95","2.20","1.23","1.70","0.95","2.20","1.15","-0.50","-0.50","3.40","1.60","2.60"
"A2IJEKMVEHQ90W","1.25","2.20","3.00","1.25","0.50","2.20","1.60","1.25","0.50","2.20","1.56","-0.95","-0.95","3.60","2.60","5.20"
"A2KOR4003SVNC5","2.33","1.00","2.00","2.33","1.89","1.00","0.00","2.33","1.89","1.00","0.00","1.33","1.33","3.33","4.00","5.67"
