"factor","Value","External","Attainability","Measurability","Instrumentality","Consensus"
"Value",1,0.35,0.37,0.49,0.34,0.04
"External",0.35,1,-0.05,0.12,0.19,-0.19
"Attainability",0.37,-0.05,1,0.26,0.14,0.12
"Measurability",0.49,0.12,0.26,1,0.24,0.05
"Instrumentality",0.34,0.19,0.14,0.24,1,0.27
"Consensus",0.04,-0.19,0.12,0.05,0.27,1
