"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","listNum","priority","total_goal","goalType","conflict","connectedness","instrumentality"
"AHYTT3T8W9Y9Y",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"recurrance",1,2,3
"A3KNLR8H286IHT",2,1,1,4,4.24,1,0,1,0,1,0,3,0,3,1,3,"short-term",1,7,7
"A3KNLR8H286IHT",2,1,2,1,0,1,0,1,0,1,0,0,0,3,3,3,"recurrance",1,5,7
"A3KNLR8H286IHT",2,1,3,1,0,1,0,4,4.24,1,0,0,3,3,2,3,"recurrance",1,2,7
"A3NRAEKWOKVUNN",3,1.5,1,4,NA,1,NA,2,NA,2,NA,3,0,2,1,2,"recurrance",2,3,3
"A3NRAEKWOKVUNN",3,1.5,2,2,NA,2,NA,4,NA,1,NA,0,3,2,2,2,"long-term",1,4,4
"AHGDYNKOKJWFJ",2.5,2,1,2.5,0.71,2,0,3,1.41,2,0,0.5,1,3,1,2,"short-term",2,2,5
"AHGDYNKOKJWFJ",2.5,2,2,2,0,2,0,2.5,0.71,2,0,0,0.5,3,2,2,"short-term",2,2,4
"AHGDYNKOKJWFJ",2.5,2,3,3,1.41,2,0,2,0,2,0,1,0,3,3,2,"short-term",2,3,3
"A1R5W4RQZTROD8",1.25,2.58,1,1,0,2,1,1,0,2.67,2.89,-1,-1.67,4,1,4,"long-term",2,1,2
"A1R5W4RQZTROD8",1.25,2.58,2,1,0,4.67,1.53,1,0,3.33,0.58,-3.67,-2.33,4,4,4,"recurrance",4,1,1
"A1R5W4RQZTROD8",1.25,2.58,3,1.33,0.58,2,1.73,1.67,1.15,2.67,2.08,-0.67,-1,4,3,4,"recurrance",2,1,5
"A1R5W4RQZTROD8",1.25,2.58,4,1.67,1.15,1.67,1.15,1.33,0.58,1.67,1.15,0,-0.33,4,2,4,"recurrance",2,2,4
"A1XUZFDVKP95VC",2,1,1,1,NA,1,NA,3,NA,1,NA,0,2,2,2,2,"long-term",2,5,7
"A1XUZFDVKP95VC",2,1,2,3,NA,1,NA,1,NA,1,NA,2,0,2,1,2,"short-term",3,4,7
"A22SZHZTF72TRM",2.25,1,1,2.67,2.89,1,0,2.67,2.89,1,0,1.67,1.67,4,1,4,"short-term",1,4,4
"A22SZHZTF72TRM",2.25,1,2,2.67,2.89,1,0,2.67,2.89,1,0,1.67,1.67,4,4,4,"short-term",1,7,7
"A22SZHZTF72TRM",2.25,1,3,1.67,1.15,1,0,2,1.73,1,0,0.67,1,4,3,4,"recurrance",1,2,4
"A22SZHZTF72TRM",2.25,1,4,2,1.73,1,0,1.67,1.15,1,0,1,0.67,4,2,4,"recurrance",2,3,4
"A1G187YBG0DVMQ",1.67,1.67,1,1.5,0.71,1,0,1,0,1,0,0.5,0,3,1,3,"short-term",2,3,4
"A1G187YBG0DVMQ",1.67,1.67,2,2.5,2.12,1.5,0.71,1,0,2.5,2.12,1,-1.5,3,2,3,"long-term",2,3,5
"A1G187YBG0DVMQ",1.67,1.67,3,1,0,2.5,2.12,3,1.41,1.5,0.71,-1.5,1.5,3,3,3,"recurrance",1,3,3
"A2BJTPZLXIGO8D",2,1.17,1,2.5,2.12,1.5,0.71,2.5,2.12,1,0,1,1.5,3,2,3,"recurrance",1,4,7
"A2BJTPZLXIGO8D",2,1.17,2,2.5,2.12,1,0,2.5,2.12,1.5,0.71,1.5,1,3,1,3,"recurrance",3,4,7
"A2BJTPZLXIGO8D",2,1.17,3,1,0,1,0,1,0,1,0,0,0,3,3,3,"recurrance",2,4,4
"A2DVV59R1CQU6T",3,1,1,1.5,0.71,1,0,1.5,0.71,1,0,0.5,0.5,3,1,3,"long-term",2,5,7
"A2DVV59R1CQU6T",3,1,2,4,2.83,1,0,4,2.83,1,0,3,3,3,3,3,"recurrance",2,1,4
"A2DVV59R1CQU6T",3,1,3,3.5,3.54,1,0,3.5,3.54,1,0,2.5,2.5,3,2,3,"recurrance",2,3,6
"A2ASTDMWBCFIP0",4,2.5,1,4,NA,2,NA,4,NA,3,NA,2,1,2,2,2,"short-term",4,3,6
"A2ASTDMWBCFIP0",4,2.5,2,4,NA,3,NA,4,NA,2,NA,1,2,2,1,2,"short-term",4,4,7
"A21BXRUD15TQL8",3.83,1.33,1,1.5,0.71,1.5,0.71,4,4.24,1,0,0,3,3,3,3,"long-term",2,4,5
"A21BXRUD15TQL8",3.83,1.33,2,3.5,3.54,1.5,0.71,3.5,3.54,1,0,2,2.5,3,2,3,"short-term",1,2,2
"A21BXRUD15TQL8",3.83,1.33,3,6.5,0.71,1,0,4,2.83,2,0,5.5,2,3,1,3,"recurrance",2,5,2
"AJ9O2ZA0E8UDZ",1.5,1,1,1,0,1,0,2.5,2.12,1,0,0,1.5,3,2,3,"recurrance",2,5,4
"AJ9O2ZA0E8UDZ",1.5,1,2,1,0,1,0,1,0,1,0,0,0,3,3,3,"recurrance",2,5,7
"AJ9O2ZA0E8UDZ",1.5,1,3,2.5,2.12,1,0,1,0,1,0,1.5,0,3,1,3,"short-term",7,5,4
"A3LL096CAY5WHB",6,2,1,6,NA,2,NA,6,NA,2,NA,4,4,2,2,2,"recurrance",2,6,4
"A3LL096CAY5WHB",6,2,2,6,NA,2,NA,6,NA,2,NA,4,4,2,1,2,"recurrance",1,5,5
"A2LT6KC1X51FVW",5,1,1,4,NA,1,NA,6,NA,1,NA,3,5,2,2,2,"recurrance",1,2,5
"A2LT6KC1X51FVW",5,1,2,6,NA,1,NA,4,NA,1,NA,5,3,2,1,2,"recurrance",1,2,5
"AWVLT2L5AP873",1.5,2.33,1,1.5,0.71,1,0,2,1.41,1,0,0.5,1,3,2,3,"recurrance",1,4,4
"AWVLT2L5AP873",1.5,2.33,2,1,0,3,2.83,1,0,3,2.83,-2,-2,3,1,3,"recurrance",5,1,6
"AWVLT2L5AP873",1.5,2.33,3,2,1.41,3,2.83,1.5,0.71,3,2.83,-1,-1.5,3,3,3,"recurrance",5,4,5
"A3U4SSUB9ZZ9T0",3.67,3.67,1,3,1.41,4,2.83,4,2.83,3.5,3.54,-1,0.5,3,1,3,"long-term",6,4,6
"A3U4SSUB9ZZ9T0",3.67,3.67,2,6,0,1,0,3,1.41,4,2.83,5,-1,3,2,3,"recurrance",2,5,6
"A3U4SSUB9ZZ9T0",3.67,3.67,3,2,0,6,0,4,2.83,3.5,3.54,-4,0.5,3,3,3,"recurrance",2,7,7
"A2R9OK4M877ZCC",3,3.5,1,1,0,4,4.24,4,4.24,5.5,2.12,-3,-1.5,3,1,2,"short-term",2,3,6
"A2R9OK4M877ZCC",3,3.5,2,4,4.24,4,4.24,4,4.24,4,4.24,0,0,3,3,2,"recurrance",2,7,7
"A2R9OK4M877ZCC",3,3.5,3,4,4.24,2.5,2.12,1,0,1,0,1.5,0,3,2,2,"recurrance",2,4,7
"A1O9PAK6THJ9Y7",2,2,1,2,NA,2,NA,2,NA,2,NA,0,0,2,1,2,"long-term",1,2,3
"A1O9PAK6THJ9Y7",2,2,2,2,NA,2,NA,2,NA,2,NA,0,0,2,2,2,"long-term",2,3,4
"A2AT6TSPPCR106",4,1,1,3,3.46,1,0,5.33,1.53,1,0,2,4.33,4,3,3,"recurrance",2,5,7
"A2AT6TSPPCR106",4,1,2,4.67,2.08,1,0,5,2,1,0,3.67,4,4,2,3,"recurrance",1,5,7
"A2AT6TSPPCR106",4,1,3,2.67,1.53,1,0,3.67,3.06,1,0,1.67,2.67,4,4,3,"long-term",1,3,7
"A2AT6TSPPCR106",4,1,4,5.67,1.15,1,0,2,1.73,1,0,4.67,1,4,1,3,"recurrance",1,2,5
"A28J7H4TH29DC3",1.5,3.17,1,1,0,4,4.24,1.5,0.71,4.5,3.54,-3,-3,3,2,3,"short-term",4,6,6
"A28J7H4TH29DC3",1.5,3.17,2,1.5,0.71,1.5,0.71,2,1.41,1,0,0,1,3,3,3,"recurrance",2,7,7
"A28J7H4TH29DC3",1.5,3.17,3,2,1.41,4,4.24,1,0,4,4.24,-2,-3,3,1,3,"recurrance",2,7,7
"A1VRG5HKZC0H0C",1.9,2.45,1,2.25,2.5,3.5,1.73,2.5,3,1.75,1.5,-1.25,0.75,5,3,5,"short-term",3,2,2
"A1VRG5HKZC0H0C",1.9,2.45,2,4,3.46,1.25,0.5,1.25,0.5,2.75,1.5,2.75,-1.5,5,1,5,"short-term",1,4,7
"A1VRG5HKZC0H0C",1.9,2.45,3,1,0,4.75,1.5,1,0,2.5,1.73,-3.75,-1.5,5,2,5,"short-term",6,4,4
"A1VRG5HKZC0H0C",1.9,2.45,4,1,0,1.75,0.5,3.75,3.2,2.5,3,-0.75,1.25,5,4,5,"recurrance",3,3,4
"A1VRG5HKZC0H0C",1.9,2.45,5,1.25,0.5,1,0,1,0,2.75,1.5,0.25,-1.75,5,5,5,"recurrance",2,3,3
"A351LMMMFYPM7U",1.6,1.3,1,1.5,1,1.25,0.5,2,2,1,0,0.25,1,5,2,5,"recurrance",1,2,5
"A351LMMMFYPM7U",1.6,1.3,2,2.5,1.91,2,1.15,1,0,1.25,0.5,0.5,-0.25,5,1,5,"short-term",1,2,5
"A351LMMMFYPM7U",1.6,1.3,3,2,2,1.25,0.5,1.5,1,1.25,0.5,0.75,0.25,5,5,5,"long-term",2,1,5
"A351LMMMFYPM7U",1.6,1.3,4,1,0,1,0,2.5,1.91,1.5,1,0,1,5,3,5,"long-term",1,1,4
"A351LMMMFYPM7U",1.6,1.3,5,1,0,1,0,1,0,1.5,1,0,-0.5,5,4,5,"long-term",1,1,2
"A2NHFSO7GMM8QR",2.5,1,1,4,NA,1,NA,1,NA,1,NA,3,0,2,2,3,"long-term",4,4,7
"A2NHFSO7GMM8QR",2.5,1,2,1,NA,1,NA,4,NA,1,NA,0,3,2,1,3,"recurrance",1,1,4
"A2VNSNAN1LZBAM",1,1.67,1,1,0,2.5,2.12,1,0,1.5,0.71,-1.5,-0.5,3,2,3,"long-term",1,1,1
"A2VNSNAN1LZBAM",1,1.67,2,1,0,1.5,0.71,1,0,2.5,2.12,-0.5,-1.5,3,1,3,"long-term",1,1,1
"A2VNSNAN1LZBAM",1,1.67,3,1,0,1,0,1,0,1,0,0,0,3,3,3,"short-term",1,1,1
"A3KIZLHCD945UK",6.33,3,1,6.5,0.71,2,1.41,7,0,4,4.24,4.5,3,3,2,3,"short-term",1,7,4
"A3KIZLHCD945UK",6.33,3,2,7,0,4,4.24,5.5,2.12,3,2.83,3,2.5,3,3,3,"recurrance",1,7,4
"A3KIZLHCD945UK",6.33,3,3,5.5,2.12,3,2.83,6.5,0.71,2,1.41,2.5,4.5,3,1,3,"short-term",6,6,6
"A1720HSKGQ41VJ",1.58,1.25,1,1,0,1.67,1.15,2.33,1.53,1,0,-0.67,1.33,4,1,4,"short-term",2,1,4
"A1720HSKGQ41VJ",1.58,1.25,2,1,0,1.33,0.58,1.33,0.58,1,0,-0.33,0.33,4,2,4,"short-term",2,2,4
"A1720HSKGQ41VJ",1.58,1.25,3,1.33,0.58,1,0,1.67,1.15,2,1,0.33,-0.33,4,4,4,"long-term",1,1,4
"A1720HSKGQ41VJ",1.58,1.25,4,3,1,1,0,1,0,1,0,2,0,4,3,4,"recurrance",1,4,7
"A26NGLGGFTATVN",1,1,1,1,NA,1,NA,1,NA,1,NA,0,0,2,2,2,"recurrance",1,2,7
"A26NGLGGFTATVN",1,1,2,1,NA,1,NA,1,NA,1,NA,0,0,2,1,2,"recurrance",1,3,7
"A30HUZHJBOX1LK",6,1.5,1,5,NA,2,NA,7,NA,1,NA,3,6,2,1,2,"recurrance",1,4,5
"A30HUZHJBOX1LK",6,1.5,2,7,NA,1,NA,5,NA,2,NA,6,3,2,2,2,"recurrance",1,6,5
"A4BDXOXC4D8FX",1,1,1,1,0,1,0,1,0,1,0,0,0,3,2,3,"short-term",1,1,7
"A4BDXOXC4D8FX",1,1,2,1,0,1,0,1,0,1,0,0,0,3,1,3,"short-term",1,1,7
"A4BDXOXC4D8FX",1,1,3,1,0,1,0,1,0,1,0,0,0,3,3,3,"recurrance",1,1,1
"A3AJJHOAV7WIUQ",4.83,3.17,1,4,1.41,4,1.41,4.5,0.71,3.5,0.71,0,1,3,1,3,"short-term",4,3,6
"A3AJJHOAV7WIUQ",4.83,3.17,2,5.5,0.71,2.5,0.71,5.5,0.71,2.5,0.71,3,3,3,2,3,"long-term",4,4,6
"A3AJJHOAV7WIUQ",4.83,3.17,3,5,1.41,3,1.41,4.5,2.12,3.5,2.12,2,1,3,3,3,"short-term",3,5,6
"AS2MFSWNC5CQI",1,1.5,1,1,0,2,1.73,1,0,2,1.73,-1,-1,4,1,4,"long-term",3,5,7
"AS2MFSWNC5CQI",1,1.5,2,1,0,2,1.73,1,0,2,1.73,-1,-1,4,2,4,"long-term",4,5,7
"AS2MFSWNC5CQI",1,1.5,3,1,0,1,0,1,0,1,0,0,0,4,3,4,"long-term",3,1,1
"AS2MFSWNC5CQI",1,1.5,4,1,0,1,0,1,0,1,0,0,0,4,4,4,"long-term",1,1,3
"A3VYBAO7UQQHGC",5,1,1,5.5,2.12,1,0,4.5,0.71,1,0,4.5,3.5,3,1,3,"short-term",1,2,5
"A3VYBAO7UQQHGC",5,1,2,5,1.41,1,0,4,0,1,0,4,3,3,2,3,"short-term",1,4,7
"A3VYBAO7UQQHGC",5,1,3,4.5,0.71,1,0,6.5,0.71,1,0,3.5,5.5,3,3,3,"short-term",1,1,5
"A1G5EPLJEGL381",6,1,1,5,NA,1,NA,7,NA,1,NA,4,6,2,1,2,"long-term",2,6,7
"A1G5EPLJEGL381",6,1,2,7,NA,1,NA,5,NA,1,NA,6,4,2,2,2,"long-term",1,5,7
"A1CTUG0RUGCY48",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"long-term",1,1,7
"A6R5AQ4D638BH",3.33,1,1,2,0,1,0,3,1.41,1,0,1,2,3,2,3,"long-term",1,1,5
"A6R5AQ4D638BH",3.33,1,2,4,2.83,1,0,3,1.41,1,0,3,2,3,3,3,"short-term",1,4,5
"A6R5AQ4D638BH",3.33,1,3,4,0,1,0,4,2.83,1,0,3,3,3,1,3,"short-term",1,4,4
"A2KOR4003SVNC5",2.33,1,1,1,0,1,0,1,0,1,0,0,0,3,1,3,"short-term",3,1,7
"A2KOR4003SVNC5",2.33,1,2,3.5,3.54,1,0,2.5,2.12,1,0,2.5,1.5,3,3,3,"long-term",4,4,7
"A2KOR4003SVNC5",2.33,1,3,2.5,2.12,1,0,3.5,3.54,1,0,1.5,2.5,3,2,3,"long-term",3,7,3
"A1OJV3R8BH73BD",3,1,1,5,2.83,1,0,1.5,0.71,1,0,4,0.5,3,1,4,"short-term",1,4,7
"A1OJV3R8BH73BD",3,1,2,1,0,1,0,5.5,2.12,1,0,0,4.5,3,2,4,"short-term",1,5,7
"A1OJV3R8BH73BD",3,1,3,3,1.41,1,0,2,1.41,1,0,2,1,3,3,4,"short-term",1,1,4
"A3OUNEJO97MM8E",3.83,3.17,1,1.5,0.71,3,0,5.5,2.12,4,2.83,-1.5,1.5,3,2,3,"short-term",2,4,3
"A3OUNEJO97MM8E",3.83,3.17,2,7,0,2.5,0.71,2,0,2.5,0.71,4.5,-0.5,3,1,3,"long-term",5,5,7
"A3OUNEJO97MM8E",3.83,3.17,3,3,1.41,4,2.83,4,4.24,3,0,-1,1,3,3,3,"short-term",2,3,6
"A7P3R1AIA4TVV",3.17,2,1,4,4.24,1.5,0.71,4,4.24,1.5,0.71,2.5,2.5,3,2,3,"recurrance",1,5,5
"A7P3R1AIA4TVV",3.17,2,2,4.5,3.54,1.5,0.71,4,4.24,2.5,2.12,3,1.5,3,3,3,"long-term",2,5,5
"A7P3R1AIA4TVV",3.17,2,3,1,0,3,1.41,1.5,0.71,2,0,-2,-0.5,3,1,3,"short-term",5,2,5
"A121T4P5NKCHCS",3.33,2.83,1,4.5,0.71,5,1.41,4.5,2.12,2.5,2.12,-0.5,2,3,1,3,"short-term",1,4,7
"A121T4P5NKCHCS",3.33,2.83,2,2,1.41,2.5,2.12,2.5,2.12,2.5,2.12,-0.5,0,3,2,3,"short-term",4,4,3
"A121T4P5NKCHCS",3.33,2.83,3,3.5,3.54,1,0,3,2.83,3.5,3.54,2.5,-0.5,3,3,3,"short-term",1,4,5
"A3NLSGHK6RFXA8",3.75,2.25,1,3,3.46,1,0,5,3.46,3,3.46,2,2,4,1,4,"long-term",1,4,7
"A3NLSGHK6RFXA8",3.75,2.25,2,5,3.46,1,0,5,3.46,3,3.46,4,2,4,2,4,"recurrance",1,4,7
"A3NLSGHK6RFXA8",3.75,2.25,3,1,0,1,0,2,1.73,2,1.73,0,0,4,3,4,"short-term",1,1,7
"A3NLSGHK6RFXA8",3.75,2.25,4,6,1.73,6,1.73,3,3.46,1,0,0,2,4,4,4,"long-term",1,4,5
"AOS2PVHT2HYTL",1.17,1,1,1,0,1,0,1,0,1,0,0,0,3,2,5,"short-term",1,1,1
"AOS2PVHT2HYTL",1.17,1,2,1,0,1,0,1.5,0.71,1,0,0,0.5,3,1,5,"short-term",1,1,1
"AOS2PVHT2HYTL",1.17,1,3,1.5,0.71,1,0,1,0,1,0,0.5,0,3,3,5,"short-term",1,3,4
"A1TPGXT718D68E",1.67,1.33,1,2.5,2.12,1,0,1.5,0.71,1.5,0.71,1.5,0,3,2,3,"short-term",3,4,4
"A1TPGXT718D68E",1.67,1.33,2,1,0,1,0,1,0,1.5,0.71,0,-0.5,3,1,3,"short-term",4,7,7
"A1TPGXT718D68E",1.67,1.33,3,1.5,0.71,2,0,2.5,2.12,1,0,-0.5,1.5,3,3,3,"short-term",4,1,7
"AKX5RHHO8BIUX",1.4,1.4,1,1,0,1.25,0.5,1,0,1.75,0.96,-0.25,-0.75,5,4,5,"short-term",3,4,6
"AKX5RHHO8BIUX",1.4,1.4,2,1.5,1,2.25,1.26,1.25,0.5,1,0,-0.75,0.25,5,1,5,"recurrance",5,5,3
"AKX5RHHO8BIUX",1.4,1.4,3,1.5,1,1.5,1,1.25,0.5,1.25,0.5,0,0,5,3,5,"short-term",2,3,4
"AKX5RHHO8BIUX",1.4,1.4,4,1.25,0.5,1,0,2,1.15,1.75,1.5,0.25,0.25,5,5,5,"short-term",3,5,5
"AKX5RHHO8BIUX",1.4,1.4,5,1.75,0.96,1,0,1.5,1,1.25,0.5,0.75,0.25,5,2,5,"short-term",2,4,4
"A26UAJWMMNN351",1,2.5,1,1,0,4,4.24,1,0,2.5,2.12,-3,-1.5,3,1,3,"short-term",1,4,1
"A26UAJWMMNN351",1,2.5,2,1,0,1,0,1,0,1,0,0,0,3,3,3,"long-term",4,1,4
"A26UAJWMMNN351",1,2.5,3,1,0,2.5,2.12,1,0,4,4.24,-1.5,-3,3,2,3,"short-term",1,4,7
"AM0QVBV8L6QCJ",1,1,1,1,NA,1,NA,1,NA,1,NA,0,0,2,1,2,"long-term",1,1,6
"AM0QVBV8L6QCJ",1,1,2,1,NA,1,NA,1,NA,1,NA,0,0,2,2,2,"long-term",1,1,4
"A2X3FSFHV5GHJU",3,1,1,2.5,2.12,1,0,4.5,0.71,1,0,1.5,3.5,3,1,3,"long-term",1,2,4
"A2X3FSFHV5GHJU",3,1,2,4,1.41,1,0,2.5,2.12,1,0,3,1.5,3,3,3,"recurrance",2,2,3
"A2X3FSFHV5GHJU",3,1,3,2.5,2.12,1,0,2,1.41,1,0,1.5,1,3,2,3,"long-term",1,2,4
"A1F1TBDHPYAAXT",3,1,1,4,4.24,1,0,4,4.24,1,0,3,3,3,2,3,"short-term",1,7,7
"A1F1TBDHPYAAXT",3,1,2,4,4.24,1,0,4,4.24,1,0,3,3,3,1,3,"short-term",1,7,7
"A1F1TBDHPYAAXT",3,1,3,1,0,1,0,1,0,1,0,0,0,3,3,3,"recurrance",1,1,6
"AFMAFX0P2YRRV",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"short-term",1,4,4
"A38BO0BRCQX6OV",3.83,1.67,1,2.5,2.12,1,0,3.5,0.71,1,0,1.5,2.5,3,2,3,"long-term",2,4,6
"A38BO0BRCQX6OV",3.83,1.67,2,5,1.41,1,0,4.5,0.71,3,2.83,4,1.5,3,3,3,"long-term",1,6,7
"A38BO0BRCQX6OV",3.83,1.67,3,4,1.41,3,2.83,3.5,3.54,1,0,1,2.5,3,1,3,"recurrance",1,6,7
"AIA7RZSAONU5M",5.5,2.5,1,4.5,0.71,2.5,0.71,6,1.41,3,1.41,2,3,3,2,3,"recurrance",2,6,6
"AIA7RZSAONU5M",5.5,2.5,2,6,1.41,3,1.41,4.5,0.71,2.5,0.71,3,2,3,3,3,"recurrance",1,6,6
"AIA7RZSAONU5M",5.5,2.5,3,6,1.41,2,0,6,1.41,2,0,4,4,3,1,3,"recurrance",1,6,7
"A2615YW1YERQBO",2.5,2.83,1,4,1.41,2,0,2,1.41,4,1.41,2,-2,3,3,3,"long-term",3,2,3
"A2615YW1YERQBO",2.5,2.83,2,1.5,0.71,3.5,2.12,3,2.83,2.5,0.71,-2,0.5,3,2,3,"long-term",2,2,3
"A2615YW1YERQBO",2.5,2.83,3,2,1.41,3,0,2.5,0.71,2,0,-1,0.5,3,1,3,"long-term",1,6,7
"A3OPRR8AXT6OSJ",6.83,1.17,1,6.5,0.71,1.5,0.71,7,0,1,0,5,6,3,2,3,"recurrance",3,6,7
"A3OPRR8AXT6OSJ",6.83,1.17,2,7,0,1,0,6.5,0.71,1.5,0.71,6,5,3,1,3,"recurrance",1,7,7
"A3OPRR8AXT6OSJ",6.83,1.17,3,7,0,1,0,7,0,1,0,6,6,3,3,3,"recurrance",1,7,7
"A1AIMKA54UBYIQ",1,1,1,1,NA,1,NA,1,NA,1,NA,0,0,2,1,2,"recurrance",3,4,2
"A1AIMKA54UBYIQ",1,1,2,1,NA,1,NA,1,NA,1,NA,0,0,2,2,2,"recurrance",3,3,2
"A286W816CMIZL9",5.67,2.67,1,7,0,1,0,7,0,1,0,6,6,3,1,2,"long-term",1,7,7
"A286W816CMIZL9",5.67,2.67,2,5,2.83,3.5,3.54,5,2.83,3.5,3.54,1.5,1.5,3,2,2,"recurrance",1,7,7
"A286W816CMIZL9",5.67,2.67,3,5,2.83,3.5,3.54,5,2.83,3.5,3.54,1.5,1.5,3,3,2,"recurrance",1,7,7
"A3HXM7BGH18FOW",3,1,1,4,4.24,1,0,4,4.24,1,0,3,3,3,1,3,"recurrance",1,5,4
"A3HXM7BGH18FOW",3,1,2,1,0,1,0,1,0,1,0,0,0,3,2,3,"long-term",1,1,1
"A3HXM7BGH18FOW",3,1,3,4,4.24,1,0,4,4.24,1,0,3,3,3,3,3,"recurrance",1,6,3
"A770OB1ZAGJ4G",6.5,1.5,1,6,0,2,0,6,0,2,0,4,4,4,1,4,"recurrance",2,3,6
"A770OB1ZAGJ4G",6.5,1.5,2,6.67,0.58,1.33,0.58,6.67,0.58,1.33,0.58,5.33,5.33,4,3,4,"recurrance",4,5,6
"A770OB1ZAGJ4G",6.5,1.5,3,6.67,0.58,1.33,0.58,6.67,0.58,1.33,0.58,5.33,5.33,4,4,4,"recurrance",3,6,6
"A770OB1ZAGJ4G",6.5,1.5,4,6.67,0.58,1.33,0.58,6.67,0.58,1.33,0.58,5.33,5.33,4,2,4,"recurrance",1,7,7
"A17KN7NAP48L4B",6.33,1,1,7,0,1,0,7,0,1,0,6,6,3,1,3,"short-term",1,4,4
"A17KN7NAP48L4B",6.33,1,2,5.5,2.12,1,0,6.5,0.71,1,0,4.5,5.5,3,2,3,"recurrance",1,4,7
"A17KN7NAP48L4B",6.33,1,3,6.5,0.71,1,0,5.5,2.12,1,0,5.5,4.5,3,3,3,"recurrance",1,4,7
"A110BZSDZN7E16",2.33,1.33,1,2.5,2.12,1.5,0.71,3.5,3.54,1.5,0.71,1,2,3,1,4,"short-term",1,1,7
"A110BZSDZN7E16",2.33,1.33,2,1,0,1,0,1,0,1,0,0,0,3,3,4,"short-term",1,1,4
"A110BZSDZN7E16",2.33,1.33,3,3.5,3.54,1.5,0.71,2.5,2.12,1.5,0.71,2,1,3,2,4,"long-term",3,4,7
"A1X388C6SDCDEY",4.67,2.5,1,5.33,2.89,2.33,1.53,4,2.65,2,1.73,3,2,4,1,4,"recurrance",3,4,7
"A1X388C6SDCDEY",4.67,2.5,2,2.33,0.58,4.33,0.58,3.67,2.08,3.33,1.15,-2,0.33,4,4,4,"recurrance",6,2,2
"A1X388C6SDCDEY",4.67,2.5,3,4.33,2.31,2,1.73,5.67,2.31,2,1.73,2.33,3.67,4,3,4,"recurrance",2,5,6
"A1X388C6SDCDEY",4.67,2.5,4,6.67,0.58,1.33,0.58,5.33,2.89,2.67,2.08,5.33,2.67,4,2,4,"recurrance",1,7,7
"A1BSVEBYDZ0AAU",1.5,2.83,1,2,0,3,2.83,1.5,0.71,3,1.41,-1,-1.5,3,2,3,"recurrance",2,6,3
"A1BSVEBYDZ0AAU",1.5,2.83,2,1.5,0.71,4,0,1.5,0.71,1,0,-2.5,0.5,3,1,3,"recurrance",4,4,1
"A1BSVEBYDZ0AAU",1.5,2.83,3,1,0,1.5,0.71,1.5,0.71,4.5,0.71,-0.5,-3,3,3,3,"recurrance",2,1,1
"A1D2ZSPIHOI23K",4.5,3.17,1,5.5,0.71,2.5,0.71,3,1.41,4,1.41,3,-1,3,1,4,"short-term",4,4,4
"A1D2ZSPIHOI23K",4.5,3.17,2,3.5,2.12,3.5,2.12,5,0,3.5,0.71,0,1.5,3,3,4,"recurrance",3,3,4
"A1D2ZSPIHOI23K",4.5,3.17,3,4.5,0.71,3.5,0.71,5.5,0.71,2,0,1,3.5,3,2,4,"short-term",5,4,5
"A2VGFS03KCCR1Q",1.5,2.5,1,1,NA,3,NA,2,NA,2,NA,-2,0,2,1,2,"short-term",3,1,5
"A2VGFS03KCCR1Q",1.5,2.5,2,2,NA,2,NA,1,NA,3,NA,0,-2,2,2,2,"recurrance",1,2,7
"AYA1LRB27KSR1",5.8,1.6,1,3.5,2.52,3,2.31,6,2,2,2,0.5,4,5,3,7,"short-term",1,4,7
"AYA1LRB27KSR1",5.8,1.6,2,5.5,3,1,0,7,0,1,0,4.5,6,5,1,7,"recurrance",1,5,7
"AYA1LRB27KSR1",5.8,1.6,3,7,0,1,0,4,3.46,1,0,6,3,5,4,7,"recurrance",2,4,7
"AYA1LRB27KSR1",5.8,1.6,4,6,2,2,2,6,2,2,2,4,4,5,5,7,"recurrance",1,7,7
"AYA1LRB27KSR1",5.8,1.6,5,7,0,1,0,6,2,2,2,6,4,5,2,7,"recurrance",1,7,7
"A132GRVDGXPJGY",1.5,1,1,2,1.41,1,0,1,0,1,0,1,0,3,3,3,"short-term",2,7,5
"A132GRVDGXPJGY",1.5,1,2,1,0,1,0,2.5,0.71,1,0,0,1.5,3,1,3,"short-term",1,2,7
"A132GRVDGXPJGY",1.5,1,3,1.5,0.71,1,0,1,0,1,0,0.5,0,3,2,3,"short-term",1,5,7
"A39H9RIYRB5ZYV",6.55,1.15,1,6.75,0.5,1.25,0.5,7,0,1,0,5.5,6,5,3,6,"recurrance",2,5,7
"A39H9RIYRB5ZYV",6.55,1.15,2,7,0,1.25,0.5,6.25,0.96,1,0,5.75,5.25,5,1,6,"recurrance",1,7,7
"A39H9RIYRB5ZYV",6.55,1.15,3,7,0,1,0,6.5,1,1,0,6,5.5,5,4,6,"long-term",1,7,7
"A39H9RIYRB5ZYV",6.55,1.15,4,5.25,1.26,1.25,0.5,6.75,0.5,1.25,0.5,4,5.5,5,2,6,"recurrance",1,5,6
