"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","listNum","priority","total_goal","goalType","conflict","connectedness","instrumentality"
"A1DD23J1WBGQUU",2.83,1.17,3,2.5,2.12,1,0,1,0,1,0,1.5,0,3,3,3,"long-term",1,2,4
"AMA18W8F60Y2J",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"short-term",3,4,5
"AIHUIAQ4922K3",1.5,1,1,2,NA,1,NA,1,NA,1,NA,1,0,2,2,2,"recurrance",2,6,4
"AIHUIAQ4922K3",1.5,1,2,1,NA,1,NA,2,NA,1,NA,0,1,2,1,2,"recurrance",1,2,4
"A2Y0WNHMT4PZ4C",3,1,1,4,4.24,1,0,4,4.24,1,0,3,3,3,1,3,"long-term",1,6,6
"A2Y0WNHMT4PZ4C",3,1,2,4,4.24,1,0,4,4.24,1,0,3,3,3,2,3,"recurrance",1,6,7
"A2Y0WNHMT4PZ4C",3,1,3,1,0,1,0,1,0,1,0,0,0,3,3,3,"long-term",1,1,3
"A2AZYU1CT24O0K",4.3,1.5,1,6,2,1,0,6.25,1.5,1,0,5,5.25,5,1,5,"short-term",3,4,6
"A2AZYU1CT24O0K",4.3,1.5,2,3,2.83,1.75,1.5,3,2.83,2.25,1.5,1.25,0.75,5,4,5,"recurrance",1,3,7
"A2AZYU1CT24O0K",4.3,1.5,3,4.5,3,1,0,3.25,2.87,1,0,3.5,2.25,5,3,5,"recurrance",1,5,7
"A2AZYU1CT24O0K",4.3,1.5,4,4.75,2.87,1.75,0.96,6,2,1.25,0.5,3,4.75,5,2,5,"long-term",1,7,7
"A2AZYU1CT24O0K",4.3,1.5,5,3.25,2.87,2,1.41,3,2.83,2,1.41,1.25,1,5,5,5,"recurrance",1,6,4
"AJ4T7PTRYNSUW",3.83,2,1,3.5,0.71,4,4.24,4,4.24,1,0,-0.5,3,3,2,3,"long-term",3,3,7
"AJ4T7PTRYNSUW",3.83,2,2,6,1.41,1,0,3,0,4,4.24,5,-1,3,1,3,"long-term",3,5,7
"AJ4T7PTRYNSUW",3.83,2,3,2,1.41,1,0,4.5,0.71,1,0,1,3.5,3,3,3,"long-term",1,1,2
"A1IL81UMEC9OJI",1.65,1,1,2.5,1,1,0,2.25,0.5,1,0,1.5,1.25,5,3,6,"long-term",1,3,3
"A1IL81UMEC9OJI",1.65,1,2,1.25,0.5,1,0,1.25,0.5,1,0,0.25,0.25,5,1,6,"short-term",1,2,4
"A1IL81UMEC9OJI",1.65,1,3,1.75,0.96,1,0,2,1.41,1,0,0.75,1,5,5,6,"short-term",1,4,4
"A1IL81UMEC9OJI",1.65,1,4,1.5,0.58,1,0,1.5,0.58,1,0,0.5,0.5,5,2,6,"long-term",1,2,3
"A1IL81UMEC9OJI",1.65,1,5,1.25,0.5,1,0,1.25,0.5,1,0,0.25,0.25,5,4,6,"long-term",1,4,5
"ARQR5NIFA1AJ",2.5,1.33,1,4,1.41,1.5,0.71,2,1.41,1,0,2.5,1,3,2,3,"long-term",3,4,3
"ARQR5NIFA1AJ",2.5,1.33,2,2,1.41,1.5,0.71,2.5,0.71,1,0,0.5,1.5,3,1,3,"recurrance",2,5,5
"ARQR5NIFA1AJ",2.5,1.33,3,1.5,0.71,1,0,3,2.83,2,0,0.5,1,3,3,3,"short-term",1,3,5
"A13WTEQ06V3B6D",2,5.83,1,1.5,0.71,6.5,0.71,2.5,2.12,5,2.83,-5,-2.5,3,2,3,"recurrance",2,7,7
"A13WTEQ06V3B6D",2,5.83,2,3,1.41,4.5,2.12,2,0,6,0,-1.5,-4,3,1,3,"recurrance",2,6,7
"A13WTEQ06V3B6D",2,5.83,3,1.5,0.71,6.5,0.71,1.5,0.71,6.5,0.71,-5,-5,3,3,3,"short-term",5,1,4
"A1J8TVICSRC70W",2.4,1.5,1,4,3.46,1.5,1,4,3.46,1.5,1,2.5,2.5,5,1,3,"short-term",4,4,2
"A1J8TVICSRC70W",2.4,1.5,2,3.25,2.87,1.25,0.5,2.75,2.87,1.25,0.5,2,1.5,5,2,3,"recurrance",3,5,5
"A1J8TVICSRC70W",2.4,1.5,3,1,0,2.25,0.96,1,0,2.25,0.96,-1.25,-1.25,5,5,3,"short-term",6,1,2
"A1J8TVICSRC70W",2.4,1.5,4,2.75,2.87,1.5,1,3.25,2.87,1.5,1,1.25,1.75,5,3,3,"short-term",2,6,6
"A1J8TVICSRC70W",2.4,1.5,5,1,0,1,0,1,0,1,0,0,0,5,4,3,"recurrance",1,1,1
"A3ROYUO9LWA22S",3.7,1.7,1,5.25,1.71,2,2,1,0,1,0,3.25,0,5,1,5,"short-term",4,7,7
"A3ROYUO9LWA22S",3.7,1.7,2,3.75,2.22,1.75,1.5,3,2.83,2,2,2,1,5,2,5,"short-term",4,5,7
"A3ROYUO9LWA22S",3.7,1.7,3,3.5,3,1.5,1,4,2.94,2.25,2.5,2,1.75,5,4,5,"long-term",1,7,7
"A3ROYUO9LWA22S",3.7,1.7,4,4.25,3.2,2.25,2.5,4.75,0.5,1.5,1,2,3.25,5,3,5,"short-term",6,7,7
"A3ROYUO9LWA22S",3.7,1.7,5,1.75,1.5,1,0,5.75,1.89,1.75,1.5,0.75,4,5,5,5,"recurrance",1,7,7
"A1W850QN9RK019",2.75,1.1,1,3.5,3,1,0,3.5,3,1,0,2.5,2.5,5,1,5,"long-term",5,2,4
"A1W850QN9RK019",2.75,1.1,2,1.5,0.58,1,0,2.5,3,1,0,0.5,1.5,5,4,5,"short-term",3,5,5
"A1W850QN9RK019",2.75,1.1,3,3,2.83,1,0,4,2.45,1.25,0.5,2,2.75,5,2,5,"long-term",2,3,6
"A1W850QN9RK019",2.75,1.1,4,3,2.31,1.25,0.5,2,2,1.25,0.5,1.75,0.75,5,3,5,"short-term",4,6,7
"A1W850QN9RK019",2.75,1.1,5,2.75,2.87,1.25,0.5,1.75,0.96,1,0,1.5,0.75,5,5,5,"recurrance",3,2,5
"A1YPOIURXB6ESR",2.92,2.5,1,4,3,2,1.73,3,3.46,3.33,2.08,2,-0.33,4,3,4,"short-term",3,4,6
"A1YPOIURXB6ESR",2.92,2.5,2,3,3.46,1,0,3,3.46,1,0,2,2,4,2,4,"recurrance",2,6,7
