"MTurkCode","listNum","goal","endTime","goalType","progress_base","satisfaction_base"
"A1BWS5AD2T4NIR",5,"5",NA,"long-term","2","8"
"A1CI5U3BLQ2DDS",5,"1","three_month","short-term","0","8"
"A1CI5U3BLQ2DDS",5,"2",NA,"long-term","1","1"
"A1CI5U3BLQ2DDS",5,"3",NA,"recurrance","0","1"
"A1CI5U3BLQ2DDS",5,"4",NA,"recurrance","0","1"
"A1CI5U3BLQ2DDS",5,"5",NA,"recurrance","0","1"
"A1CTUG0RUGCY48",1,"1",NA,"long-term","7","8"
"A1D2ZSPIHOI23K",3,"1","in_weeks","short-term","7","5"
"A1D2ZSPIHOI23K",3,"2",NA,"recurrance","6","3"
"A1D2ZSPIHOI23K",3,"3","next_month","short-term","7","6"
"A1D7IULWFI8PB1",3,"1",NA,"long-term","6","8"
"A1D7IULWFI8PB1",3,"2","three_month","short-term","1","2"
"A1D7IULWFI8PB1",3,"3","three_month","short-term","0","8"
"A1DD23J1WBGQUU",3,"1",NA,"recurrance","8","8"
"A1DD23J1WBGQUU",3,"2",NA,"recurrance","5","2"
"A1DD23J1WBGQUU",3,"3",NA,"long-term","7","6"
"A1EH9BPKYXFBS5",5,"1","three_month","short-term","8","3"
"A1EH9BPKYXFBS5",5,"2",NA,"recurrance","10","6"
"A1EH9BPKYXFBS5",5,"3",NA,"long-term","0","8"
"A1EH9BPKYXFBS5",5,"4",NA,"recurrance","7","1"
"A1EH9BPKYXFBS5",5,"5",NA,"long-term","10","7"
"A1F1TBDHPYAAXT",3,"1","three_month","short-term","1","8"
"A1F1TBDHPYAAXT",3,"2","three_month","short-term","0","8"
"A1F1TBDHPYAAXT",3,"3",NA,"recurrance","10","7"
"A1G187YBG0DVMQ",3,"1","in_weeks","short-term","1","2"
"A1G187YBG0DVMQ",3,"2",NA,"long-term","0","1"
"A1G187YBG0DVMQ",3,"3",NA,"recurrance","2","1"
"A1G5EPLJEGL381",2,"1",NA,"long-term","2","5"
"A1G5EPLJEGL381",2,"2",NA,"long-term","4","3"
"A1H5Q9HRH4RPZU",3,"1",NA,"recurrance","0","1"
"A1H5Q9HRH4RPZU",3,"2",NA,"long-term","8","6"
"A1H5Q9HRH4RPZU",3,"3","two_month","short-term","0","1"
"A1IBLFQ2E6VA2J",5,"1","three_month","short-term","1","3"
"A1IBLFQ2E6VA2J",5,"2",NA,"recurrance","2","5"
"A1IBLFQ2E6VA2J",5,"3","next_month","short-term","0","1"
"A1IBLFQ2E6VA2J",5,"4",NA,"recurrance","8","8"
"A1IBLFQ2E6VA2J",5,"5",NA,"long-term","2","1"
"A1IJ56N5Z4TT46",5,"1",NA,"recurrance","1","1"
"A1IJ56N5Z4TT46",5,"2",NA,"recurrance","0","1"
"A1IJ56N5Z4TT46",5,"3","three_month","short-term","2","2"
"A1IJ56N5Z4TT46",5,"4","three_month","short-term","5","5"
"A1IJ56N5Z4TT46",5,"5",NA,"recurrance","4","3"
"A1IL81UMEC9OJI",5,"1",NA,"long-term","2","3"
"A1IL81UMEC9OJI",5,"2","in_days","short-term","7","3"
"A1IL81UMEC9OJI",5,"3","two_month","short-term","3","3"
"A1IL81UMEC9OJI",5,"4",NA,"long-term","1","1"
"A1IL81UMEC9OJI",5,"5",NA,"long-term","2","8"
"A1J8TVICSRC70W",5,"1","three_month","short-term","2","2"
"A1J8TVICSRC70W",5,"2",NA,"recurrance","7","5"
"A1J8TVICSRC70W",5,"3","next_month","short-term","9","5"
"A1J8TVICSRC70W",5,"4","three_month","short-term","2","2"
"A1J8TVICSRC70W",5,"5",NA,"recurrance","4","3"
"A1J9Z2VOHTT1UZ",3,"1",NA,"recurrance","3","1"
"A1J9Z2VOHTT1UZ",3,"2",NA,"recurrance","5","1"
"A1J9Z2VOHTT1UZ",3,"3",NA,"recurrance","0","8"
"A1K8VUKRL53OX",5,"1","three_month","short-term","2","6"
"A1K8VUKRL53OX",5,"2","two_month","short-term","1","5"
"A1K8VUKRL53OX",5,"3",NA,"recurrance","4","6"
"A1K8VUKRL53OX",5,"4",NA,"long-term","1","5"
"A1K8VUKRL53OX",5,"5","three_month","short-term","1","3"
"A1KC342L9WAQ2",3,"1","two_month","short-term","7","5"
"A1KC342L9WAQ2",3,"2","next_month","short-term","7","5"
"A1KC342L9WAQ2",3,"3",NA,"recurrance","8","5"
"A1LJNQX4KBUXNP",3,"1",NA,"recurrance","10","5"
"A1LJNQX4KBUXNP",3,"2",NA,"recurrance","2","8"
"A1LJNQX4KBUXNP",3,"3","three_month","short-term","3","2"
"A1LS7GARU7CD08",3,"1",NA,"recurrance","8","6"
"A1LS7GARU7CD08",3,"2",NA,"recurrance","9","5"
"A1LS7GARU7CD08",3,"3",NA,"long-term","1","8"
"A1M8BYIP0KZJZX",5,"1","three_month","short-term","8","5"
"A1M8BYIP0KZJZX",5,"2",NA,"long-term","1","1"
"A1M8BYIP0KZJZX",5,"3","two_month","short-term","6","8"
"A1M8BYIP0KZJZX",5,"4","three_month","short-term","6","5"
"A1M8BYIP0KZJZX",5,"5",NA,"long-term","1","1"
"A1MJWY7UO3CDSM",2,"1","three_month","short-term","2","2"
"A1MJWY7UO3CDSM",2,"2","two_month","short-term","2","8"
"A1NVF1YLDLF563",3,"1",NA,"recurrance","10","6"
"A1NVF1YLDLF563",3,"2",NA,"recurrance","0","8"
"A1NVF1YLDLF563",3,"3",NA,"recurrance","0","8"
"A1O9PAK6THJ9Y7",2,"1",NA,"long-term","0","8"
"A1O9PAK6THJ9Y7",2,"2",NA,"long-term","0","8"
"A1OJV3R8BH73BD",3,"1","three_month","short-term","5","5"
"A1OJV3R8BH73BD",3,"2","three_month","short-term","3","5"
"A1OJV3R8BH73BD",3,"3","three_month","short-term","1","8"
"A1OR82RF1ZFWP",3,"1",NA,"recurrance","5","5"
"A1OR82RF1ZFWP",3,"2","three_month","short-term","0","1"
"A1OR82RF1ZFWP",3,"3",NA,"recurrance","1","3"
"A1P3I7YCWXF9YG",2,"1",NA,"long-term","1","7"
"A1P3I7YCWXF9YG",2,"2",NA,"recurrance","1","7"
"A1QT7BQZVOBSY0",4,"1",NA,"recurrance","8","6"
"A1QT7BQZVOBSY0",4,"2","two_month","short-term","2","5"
"A1QT7BQZVOBSY0",4,"3",NA,"recurrance","5","2"
"A1QT7BQZVOBSY0",4,"4",NA,"recurrance","8","6"
"A1R5W4RQZTROD8",4,"1",NA,"long-term","1","8"
"A1R5W4RQZTROD8",4,"2",NA,"recurrance","8","6"
"A1R5W4RQZTROD8",4,"3",NA,"recurrance","7","8"
"A1R5W4RQZTROD8",4,"4",NA,"recurrance","9","6"
"A1ROEDVMTO9Y3X",2,"1","three_month","short-term","2","3"
"A1ROEDVMTO9Y3X",2,"2","in_weeks","short-term","5","6"
"A1RQUOVV8PCXBM",5,"1",NA,"long-term","2","2"
"A1RQUOVV8PCXBM",5,"2",NA,"recurrance","2","2"
"A1RQUOVV8PCXBM",5,"3","three_month","short-term","1","3"
"A1RQUOVV8PCXBM",5,"4",NA,"recurrance","1","2"
"A1RQUOVV8PCXBM",5,"5",NA,"recurrance","6","8"
"A1RWNYJA5X25YH",5,"1",NA,"recurrance","1","2"
"A1RWNYJA5X25YH",5,"2",NA,"long-term","2","3"
