"","external_motivation","ideal_motivation","identified_motivation","intrinsic_motivation","introjected_motivation","ought_motivation"
"external_motivation",1,-0.0228537062170977,0.170945855446751,-0.137248942469725,0.364108642727022,0.503297324671335
"ideal_motivation",-0.0228537062170977,1,0.347027071013125,0.149409647308918,0.164184064752742,0.0680025970644705
"identified_motivation",0.170945855446751,0.347027071013125,1,-0.133097560623304,0.215938205549652,0.076144625657508
"intrinsic_motivation",-0.137248942469725,0.149409647308918,-0.133097560623304,1,-0.12192750025554,-0.0357224427909925
"introjected_motivation",0.364108642727022,0.164184064752742,0.215938205549652,-0.12192750025554,1,0.37881284786656
"ought_motivation",0.503297324671335,0.0680025970644705,0.076144625657508,-0.0357224427909925,0.37881284786656,1
