"factor","corr","corr_p","subject_meanRating","ra_meanRating","t_value","t_test_p","icc","icc_lower","icc_upper"
"Clarity",0.185752157440074,0,6.32960694231751,5.44176587301587,19.5988558122907,0,0.348,0.245,0.437
"Consensus",0.585883405085187,0,3.20954568657478,2.19676243894994,16.4330253747861,0,0.606,0.544,0.66
"External",0.332193031265221,0,3.71217457886677,3.72786172161172,-0.231783811404073,0.81674,0.491,0.41,0.56
"Value",0.317049240888919,0,5.42989620554705,3.99190182750451,30.7980018411754,0,0.538,0.465,0.601
