"goalType","Value","final_time","progress_base","Attainability","continued","abandoned","completed"
"short-term",1,"F3",3.43564356435644,3.60272277227723,0.540642639300776,0.260378132501869,0.198979228197355
"recurrance",2,"F3",3.43564356435644,3.60272277227723,0.75819933994226,0.187847061373314,0.0539535986844263
"long-term",3,"F3",3.43564356435644,3.60272277227723,0.853777362991546,0.079675917670922,0.0665467193375324
"short-term",4,"F3",3.43564356435644,3.60272277227723,0.668513883128484,0.088827530397204,0.242658586474312
"recurrance",5,"F3",3.43564356435644,3.60272277227723,0.878321046982554,0.0600367586868582,0.0616421943305878
"long-term",6,"F3",3.43564356435644,3.60272277227723,0.906931412654102,0.0233506958375519,0.069717891508346
"short-term",7,"F3",3.43564356435644,3.60272277227723,0.71702541390557,0.0262854036111945,0.256689182483235
"recurrance",1,"F3",3.43564356435644,3.60272277227723,0.68867483097897,0.262092282641464,0.049232886379566
"long-term",2,"F3",3.43564356435644,3.60272277227723,0.818561285390233,0.11734177612159,0.0640969384881769
"short-term",3,"F3",3.43564356435644,3.60272277227723,0.637443219147035,0.130106106784953,0.232450674068011
"recurrance",4,"F3",3.43564356435644,3.60272277227723,0.850698266492489,0.0893220154574752,0.0599797180500354
"long-term",5,"F3",3.43564356435644,3.60272277227723,0.895433395104417,0.0354142206104293,0.0691523842851541
"short-term",6,"F3",3.43564356435644,3.60272277227723,0.706234989206287,0.039769336915144,0.253995673878569
"recurrance",7,"F3",3.43564356435644,3.60272277227723,0.910327625002722,0.0263708198645969,0.0633015551326809
"long-term",1,"F3",3.43564356435644,3.60272277227723,0.769901079171365,0.169533451636128,0.0605654691925076
"short-term",2,"F3",3.43564356435644,3.60272277227723,0.595282457976132,0.186637229624979,0.218080312398889
"recurrance",3,"F3",3.43564356435644,3.60272277227723,0.811608906945005,0.130902755728667,0.0574883373263281
"long-term",4,"F3",3.43564356435644,3.60272277227723,0.878474145186754,0.0533694102604272,0.0681564445528186
"short-term",5,"F3",3.43564356435644,3.60272277227723,0.690697704047277,0.0597456308058984,0.249556665146825
"recurrance",6,"F3",3.43564356435644,3.60272277227723,0.897378333999852,0.0399319490737167,0.0626897169264308
"long-term",7,"F3",3.43564356435644,3.60272277227723,0.914679081373294,0.0153311633366035,0.0699897552901027
