"goalType","pursuit","complete","abandon","modify","totalGoal","totalPursuit","totalPursuit_perc"
1,195,30,5,4,234,199,0.85042735042735
2,170,6,5,6,187,176,0.941176470588235
3,295,12,15,10,332,305,0.918674698795181
NA,12,2,1,0,15,12,0.8
