"","factor","corr","pcorr","corr_F1","pcorr_F1","corr_F2","pcorr_F2","corr_F3","pcorr_F3","corr_short","pcorr_short","corr_long","pcorr_long","corr_re","pcorr_re","corr_completed","pcorr_completed","corr_continued","pcorr_continued","corr_abandoned","pcorr_abandoned"
"1","Value",0.740084903917215,0.743123928502054,0.595671014760532,0.60321015661061,0.749179480115263,0.732862001664734,0.759433760452142,0.760277773564315,0.696556784307303,0.695127592207762,0.715315413565078,0.712220191453173,0.78348787125677,0.797507223344169,0.702820156548063,0.699596575368152,0.771176393767091,0.772073918859739,0.63438673958837,0.659006434063572
"2","External",0.723034770095551,0.719483974502681,0.835277006243321,0.836017347545048,0.785907071882413,0.79681124799424,0.690900007892166,0.688052611423826,0.769895753933554,0.771593303002086,0.623277723269941,0.6117912659643,0.745338767752315,0.742841851781358,0.78264134359435,0.782295991287767,0.665997094020506,0.663894720538051,0.783240857119068,0.777247976596302
"3","Attainability",0.499104204638202,0.396392126654672,0.459375018925165,0.415669633094582,0.327271330159713,0.0843010405488734,0.54034528227705,0.445460589857602,0.418415988254285,0.35135072007725,0.507836716180393,0.371603432151769,0.532059276456842,0.421652586705778,0.342187607393038,0.278168580002661,0.545572748194191,0.454353536091365,0.356413664395633,0.356311259033175
"4","Consensus",0.801595233443048,0.800098386149565,0.835729981513261,0.840308627919964,0.863161575034064,0.868389552689916,0.78258677816185,0.781966220315075,0.817857165289791,0.81332739213129,0.811091180075166,0.813398901757331,0.778998774475438,0.77956724323723,0.830235413041571,0.83169166376183,0.783149583567809,0.781638496822714,0.832163695173436,0.827397459330823
"5","Measurability",0.60029866270477,0.584911674184007,0.624544407537353,0.567577986191216,0.676479700252491,0.662716643224953,0.592879023326887,0.584878773846651,0.57471053417157,0.571263151321047,0.509944025776953,0.512151907850465,0.635494701415274,0.621110564288134,0.580785127207175,0.540276094800786,0.604897948528575,0.599604016713654,0.597913145252666,0.594931779355789
"6","Instrumentality",0.671495281389416,0.681132844528702,0.715963320129655,0.705722653332873,0.544729111062204,0.565178084316734,0.678200571634033,0.688049006459263,0.614561899537813,0.641480733538035,0.64934740316665,0.652613633234075,0.720161108438934,0.724355375954312,0.638237346033469,0.65380754666073,0.687342681477798,0.691925764515564,0.637057759483724,0.633444642571143
