"","factor","corr","pcorr","corr_F1","pcorr_F1","corr_F2","pcorr_F2","corr_F3","pcorr_F3","corr_short","pcorr_short","corr_long","pcorr_long","corr_re","pcorr_re","corr_completed","pcorr_completed","corr_continued","pcorr_continued","corr_abandoned","pcorr_abandoned"
"1","Value",0.756001423842892,0.760314984032382,0.690708007153784,0.691418469933317,0.69526791806941,0.693810967877578,0.775100596238969,0.777882200380267,0.726369113629151,0.727244360041963,0.711777065582492,0.711752801330693,0.80416130707724,0.815432299828851,0.705174687766831,0.707333078651556,0.784670974394481,0.785488004166747,0.691779731084475,0.709498266248207
"2","Clarity",0.587045757510592,0.572271239199654,0.606963466549123,0.522392264573488,0.449950256636004,0.519760770334246,0.606182320670057,0.588963253152165,0.500918590392343,0.51296881132134,0.570229268612353,0.5401387795346,0.638324546604156,0.622335858116212,0.637609245105616,0.603655953337937,0.637842797542362,0.613679996052454,0.476744488256019,0.485883136984615
"3","External",0.719723379100646,0.714491142832536,0.821199707235363,0.81895758432914,0.786497215151111,0.804509641020986,0.690999788573539,0.686402154928007,0.761126143704296,0.763598094655963,0.616159683840912,0.598252276754702,0.747611053389899,0.743927229905011,0.767105888770158,0.764583132977225,0.675158715286821,0.671249381168594,0.751722769382038,0.75002188545769
"4","Consensus",0.801595233443048,0.800098386149565,0.835729981513261,0.840308627919964,0.863161575034064,0.868389552689916,0.78258677816185,0.781966220315075,0.817857165289791,0.81332739213129,0.811091180075166,0.813398901757331,0.778998774475438,0.77956724323723,0.830235413041571,0.83169166376183,0.783149583567809,0.781638496822714,0.832163695173436,0.827397459330823
